2018-06-05 18:19:55 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-06-05 18:19:55 install libssh2-1:amd64 <none> 1.7.0-1
2018-06-05 18:19:55 status half-installed libssh2-1:amd64 1.7.0-1
2018-06-05 18:19:55 status unpacked libssh2-1:amd64 1.7.0-1
2018-06-05 18:19:55 status unpacked libssh2-1:amd64 1.7.0-1
2018-06-05 18:19:55 install libcurl3-gnutls:amd64 <none> 7.52.1-5+deb9u6
2018-06-05 18:19:55 status half-installed libcurl3-gnutls:amd64 7.52.1-5+deb9u6
2018-06-05 18:19:55 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u6
2018-06-05 18:19:55 status unpacked libcurl3-gnutls:amd64 7.52.1-5+deb9u6
2018-06-05 18:19:55 install apt-transport-https:amd64 <none> 1.4.8
2018-06-05 18:19:55 status half-installed apt-transport-https:amd64 1.4.8
2018-06-05 18:19:55 status unpacked apt-transport-https:amd64 1.4.8
2018-06-05 18:19:55 status unpacked apt-transport-https:amd64 1.4.8
2018-06-05 18:19:55 install openssl:amd64 <none> 1.1.0f-3+deb9u2
2018-06-05 18:19:55 status half-installed openssl:amd64 1.1.0f-3+deb9u2
2018-06-05 18:19:55 status unpacked openssl:amd64 1.1.0f-3+deb9u2
2018-06-05 18:19:55 status unpacked openssl:amd64 1.1.0f-3+deb9u2
2018-06-05 18:19:55 install ca-certificates:all <none> 20161130+nmu1
2018-06-05 18:19:55 status half-installed ca-certificates:all 20161130+nmu1
2018-06-05 18:19:55 status unpacked ca-certificates:all 20161130+nmu1
2018-06-05 18:19:55 status unpacked ca-certificates:all 20161130+nmu1
2018-06-05 18:19:55 install gnupg1:amd64 <none> 1.4.21-4
2018-06-05 18:19:55 status half-installed gnupg1:amd64 1.4.21-4
2018-06-05 18:19:55 status unpacked gnupg1:amd64 1.4.21-4
2018-06-05 18:19:55 status unpacked gnupg1:amd64 1.4.21-4
2018-06-05 18:19:55 startup packages configure
2018-06-05 18:19:55 configure readline-common:all 7.0-3 <none>
2018-06-05 18:19:55 status unpacked readline-common:all 7.0-3
2018-06-05 18:19:55 status half-configured readline-common:all 7.0-3
2018-06-05 18:19:55 status installed readline-common:all 7.0-3
2018-06-05 18:19:55 configure libnettle6:amd64 3.3-1+b2 <none>
2018-06-05 18:19:55 status unpacked libnettle6:amd64 3.3-1+b2
2018-06-05 18:19:55 status half-configured libnettle6:amd64 3.3-1+b2
2018-06-05 18:19:55 status installed libnettle6:amd64 3.3-1+b2
2018-06-05 18:19:55 configure libnghttp2-14:amd64 1.18.1-1 <none>
2018-06-05 18:19:55 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-06-05 18:19:55 status half-configured libnghttp2-14:amd64 1.18.1-1
2018-06-05 18:19:55 status installed libnghttp2-14:amd64 1.18.1-1
2018-06-05 18:19:55 configure libldap-common:all 2.4.44+dfsg-5+deb9u1 <none>
2018-06-05 18:19:55 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 status installed libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-06-05 18:19:55 configure libreadline7:amd64 7.0-3 <none>
2018-06-05 18:19:55 status unpacked libreadline7:amd64 7.0-3
2018-06-05 18:19:55 status half-configured libreadline7:amd64 7.0-3
2018-06-05 18:19:55 status installed libreadline7:amd64 7.0-3
2018-06-05 18:19:55 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2018-06-05 18:19:55 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2018-06-05 18:19:55 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-06-05 18:19:55 configure gnupg1:amd64 1.4.21-4 <none>
2018-06-05 18:19:55 status unpacked gnupg1:amd64 1.4.21-4
2018-06-05 18:19:55 status half-configured gnupg1:amd64 1.4.21-4
2018-06-05 18:19:55 status installed gnupg1:amd64 1.4.21-4
2018-06-05 18:19:55 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2018-06-05 18:19:55 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-06-05 18:19:55 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2018-06-05 18:19:55 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2018-06-05 18:19:55 configure libgmp10:amd64 2:6.1.2+dfsg-1 <none>
2018-06-05 18:19:55 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-06-05 18:19:55 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1
2018-06-05 18:19:55 status installed libgmp10:amd64 2:6.1.2+dfsg-1
2018-06-05 18:19:55 configure libssh2-1:amd64 1.7.0-1 <none>
2018-06-05 18:19:55 status unpacked libssh2-1:amd64 1.7.0-1
2018-06-05 18:19:55 status half-configured libssh2-1:amd64 1.7.0-1
2018-06-05 18:19:55 status installed libssh2-1:amd64 1.7.0-1
2018-06-05 18:19:55 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-06-05 18:19:55 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-06-05 18:19:56 status installed libc-bin:amd64 2.24-11+deb9u3
2018-06-05 18:19:56 configure libunistring0:amd64 0.9.6+really0.9.3-0.1 <none>
2018-06-05 18:19:56 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-06-05 18:19:56 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-06-05 18:19:56 status half-configured libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-06-05 18:19:56 status installed libunistring0:amd64 0.9.6+really0.9.3-0.1
